pango,root,total_samples,max_descendants,min_descendants,parent_max_descendants,parent_min_descendants,diff,diff_parent,relative_diff,relative_diff_parent
BA.4.6.3,1383695,65,65,65,65,65,0,0,0.0,0.0
BA.4.6.4,1375830,27,16,16,16,16,11,11,0.4074074074074074,0.4074074074074074
BA.4.6.5,1253777,654,622,622,654,653,32,0,0.04892966360856269,0.0
BA.4.7,1264120,175,175,175,175,175,0,0,0.0,0.0
BA.4.8,1249714,2,1,1,1,1,1,1,0.5,0.5
BA.5,1189192,2100,2100,2068,2100,2095,0,0,0.0,0.0
BA.5.1,1189178,18704,18684,18634,18689,18639,20,15,0.00106928999144568,0.00080196749358426
BA.5.1.1,1232020,1956,1732,1732,1740,1740,224,216,0.11451942740286299,0.11042944785276074
BA.5.1.10,1208702,1394,1394,1394,1394,1394,0,0,0.0,0.0
BA.5.1.11,1335246,3,3,3,3,3,0,0,0.0,0.0
BA.5.1.12,1284489,176,127,127,127,127,49,49,0.2784090909090909,0.2784090909090909
BA.5.1.15,1249902,117,103,103,117,117,14,0,0.11965811965811966,0.0
BA.5.1.16,1251447,18,18,18,18,18,0,0,0.0,0.0
BA.5.1.17,1217332,75,66,66,75,75,9,0,0.12,0.0
BA.5.1.18,2707900,344,344,342,344,342,0,0,0.0,0.0
BA.5.1.19,1289413,27,21,21,23,23,6,4,0.2222222222222222,0.14814814814814814
BA.5.1.2,1246084,757,640,639,757,756,117,0,0.154557463672391,0.0
BA.5.1.20,1277084,27,23,23,23,23,4,4,0.14814814814814814,0.14814814814814814
BA.5.1.21,1233265,114,113,110,114,111,1,0,0.008771929824561403,0.0
BA.5.1.22,1209858,1477,1283,1282,1477,1476,194,0,0.13134732566012186,0.0
BA.5.1.23,1208705,1395,1360,1360,1395,1395,35,0,0.025089605734767026,0.0
BA.5.1.24,1241714,689,555,555,689,689,134,0,0.19448476052249636,0.0
BA.5.1.25,2744679,706,697,696,697,696,9,9,0.012747875354107648,0.012747875354107648
BA.5.1.26,2744853,23,16,16,16,16,7,7,0.30434782608695654,0.30434782608695654
BA.5.1.27,2710645,325,248,248,248,248,77,77,0.23692307692307693,0.23692307692307693
BA.5.1.28,1301091,32,30,30,30,30,2,2,0.0625,0.0625
BA.5.1.3,1226606,685,656,656,685,685,29,0,0.042335766423357665,0.0
BA.5.1.30,1249543,1752,1737,1736,1744,1743,15,8,0.008561643835616438,0.0045662100456621
BA.5.1.31,1362926,2,2,2,2,2,0,0,0.0,0.0
BA.5.1.32,1405980,1,1,1,1,1,0,0,0.0,0.0
BA.5.1.33,1371077,84,84,84,84,84,0,0,0.0,0.0
BA.5.1.34,1300797,12,11,11,11,11,1,1,0.08333333333333333,0.08333333333333333
BA.5.1.35,1218289,267,263,263,267,267,4,0,0.0149812734082397,0.0
BA.5.1.36,1389339,21,21,21,21,21,0,0,0.0,0.0
BA.5.1.37,1401438,2,2,2,2,2,0,0,0.0,0.0
BA.5.1.4,1253360,108,108,108,108,108,0,0,0.0,0.0
BA.5.1.5,1258295,756,751,682,751,682,5,5,0.006613756613756613,0.006613756613756613
BA.5.1.6,1264221,465,465,465,465,465,0,0,0.0,0.0
BA.5.1.7,1285312,120,120,97,120,97,0,0,0.0,0.0
BA.5.1.8,2744969,18,18,18,18,18,0,0,0.0,0.0
BA.5.1.9,1269233,84,84,84,84,84,0,0,0.0,0.0
BA.5.10,1301422,118,118,118,118,118,0,0,0.0,0.0
BA.5.10.1,2712998,9,6,6,9,9,3,0,0.3333333333333333,0.0
BA.5.11,2733229,57,56,56,56,56,1,1,0.017543859649122806,0.017543859649122806
BA.5.2,1205299,14875,14875,14848,14875,14848,0,0,0.0,0.0
BA.5.2.1,1189190,31263,30584,30388,30591,30395,679,672,0.02171896491059719,0.021495058055848767
BA.5.2.10,1381468,3,3,3,3,3,0,0,0.0,0.0
BA.5.2.12,1358971,11,4,4,4,4,7,7,0.6363636363636364,0.6363636363636364
BA.5.2.13,1276492,426,426,426,426,426,0,0,0.0,0.0
BA.5.2.14,1356902,29,29,29,29,29,0,0,0.0,0.0
BA.5.2.16,1265326,132,122,122,132,132,10,0,0.07575757575757576,0.0
BA.5.2.18,1346469,121,46,46,121,121,75,0,0.6198347107438017,0.0
BA.5.2.19,1267313,166,163,163,166,166,3,0,0.018072289156626505,0.0
BA.5.2.2,1250641,177,160,160,177,177,17,0,0.096045197740113,0.0
BA.5.2.20,1261715,1479,1361,1361,1479,1479,118,0,0.07978363759296822,0.0
BA.5.2.21,2705801,1344,927,927,1339,1339,417,5,0.31026785714285715,0.003720238095238095
BA.5.2.22,1288158,344,309,309,344,344,35,0,0.10174418604651163,0.0
BA.5.2.23,1354787,156,156,156,156,156,0,0,0.0,0.0
BA.5.2.24,1294182,48,33,33,33,33,15,15,0.3125,0.3125
BA.5.2.25,1346363,56,56,56,56,56,0,0,0.0,0.0
BA.5.2.26,1299662,159,159,159,159,159,0,0,0.0,0.0
BA.5.2.27,1263074,238,229,229,233,233,9,5,0.037815126050420166,0.02100840336134454
BA.5.2.28,1263348,290,279,279,283,283,11,7,0.03793103448275862,0.02413793103448276
BA.5.2.29,1325956,6,3,3,3,3,3,3,0.5,0.5
BA.5.2.3,1236672,945,945,945,945,945,0,0,0.0,0.0
BA.5.2.30,1381553,6,6,6,6,6,0,0,0.0,0.0
BA.5.2.31,1259359,298,242,242,298,298,56,0,0.18791946308724833,0.0
BA.5.2.32,1399972,10,8,8,8,8,2,2,0.2,0.2
BA.5.2.33,1256855,109,103,103,109,109,6,0,0.05504587155963303,0.0
BA.5.2.34,1318392,352,352,352,352,352,0,0,0.0,0.0
BA.5.2.35,1350770,421,421,421,421,421,0,0,0.0,0.0
BA.5.2.36,2745658,33,14,14,14,14,19,19,0.5757575757575758,0.5757575757575758
BA.5.2.37,1320490,34,34,34,34,34,0,0,0.0,0.0
BA.5.2.38,1379953,4,2,2,2,2,2,2,0.5,0.5
BA.5.2.39,1366779,16,16,16,16,16,0,0,0.0,0.0
BA.5.2.4,1307793,30,28,28,30,30,2,0,0.06666666666666667,0.0
BA.5.2.41,1313557,4,1,1,1,1,3,3,0.75,0.75
BA.5.2.43,1396400,1,1,1,1,1,0,0,0.0,0.0
BA.5.2.44,2740111,30,29,29,29,29,1,1,0.03333333333333333,0.03333333333333333
BA.5.2.45,1373663,1,1,1,1,1,0,0,0.0,0.0
BA.5.2.46,1402363,1,1,1,1,1,0,0,0.0,0.0
BA.5.2.47,1391593,22,22,22,22,22,0,0,0.0,0.0
BA.5.2.48,1421985,0,0,0,0,0,0,0,,
BA.5.2.51,2747755,18,18,18,18,18,0,0,0.0,0.0
BA.5.2.52,1373075,15,15,15,15,15,0,0,0.0,0.0
BA.5.2.53,1275384,63,63,63,63,63,0,0,0.0,0.0
BA.5.2.54,2714261,24,23,23,23,23,1,1,0.041666666666666664,0.041666666666666664
BA.5.2.55,1345369,2,1,1,1,1,1,1,0.5,0.5
BA.5.2.56,1279735,34,23,23,34,34,11,0,0.3235294117647059,0.0
BA.5.2.57,1345431,82,74,74,82,82,8,0,0.0975609756097561,0.0
BA.5.2.58,1379227,35,35,35,35,35,0,0,0.0,0.0
BA.5.2.59,1291863,37,26,26,26,26,11,11,0.2972972972972973,0.2972972972972973
BA.5.2.6,2707391,734,9,9,19,19,725,715,0.9877384196185286,0.9741144414168937
BA.5.2.60,1393878,9,9,9,9,9,0,0,0.0,0.0
BA.5.2.61,1405057,2,2,2,2,2,0,0,0.0,0.0
BA.5.2.62,2740320,28,25,25,25,25,3,3,0.10714285714285714,0.10714285714285714
