usher_node,pango_counts,sc2ts_mrca,sc2ts_num_descendants,sc2ts_closest_recombinant,sc2ts_closest_recombinant_path_len,usher_num_descendants
ERR6882837,{'AY.4': 1},559139,1,295320,4,1
ERR5458865,{'B.1.1.7': 1},144670,1,-1,2147483648,1
node_618278,{'BA.4': 3},1233803,6705,1189192,4,3
SRR21349392,{'BA.1.1': 1},1068389,1,-1,2147483648,1
SRR20304164,{'BA.4.1.4': 1},1278384,1,-1,2147483648,1
node_181959,{'AY.100': 2},749834,2,-1,2147483648,2
ERR7145398,{'AY.36': 1},610782,1,-1,2147483648,1
node_539410,"{'BA.2.75.2': 294, 'CH.1.1.1': 462, 'BN.1.3': 248, 'BN.1.5': 296, 'BN.1.7': 94, 'BA.2.75.5': 117, 'BA.2.75.4': 17, 'DV.6': 457, 'CH.1.1': 1484, 'CH.1.1.9': 62, 'CH.1.1.19': 161, 'CA.1': 47, 'CA.7': 69, 'BN.1.3.1': 267, 'BA.2.75.1': 147, 'BL.1.3': 2, 'BN.1': 235, 'CH.1.1.8': 40, 'CB.1': 24, 'CJ.1.2': 26, 'BN.1.2.3': 9, 'BM.1.1.3': 130, 'BY.1': 71, 'DV.1.1': 61, 'BM.4.1.1': 75, 'DV.3': 128, 'BL.2': 31, 'CV.1': 35, 'BN.1.2.1': 103, 'BN.1.4.1': 18, 'BN.1.4.2': 1, 'BN.1.3.6': 36, 'CH.1.1.10': 54, 'CH.1.1.28': 58, 'CH.1.1.15': 4, 'CH.1.1.24': 19, 'BM.1.1': 42, 'CH.1.1.25': 21, 'XBH': 6, 'BN.1.4': 87, 'BN.1.4.3': 10, 'CH.1.1.17': 9, 'BN.1.1': 16, 'BN.1.2': 97, 'CH.1.1.5': 30, 'BR.1.2': 30, 'DS.1': 3, 'BN.1.9': 11, 'CA.3.1': 12, 'BA.2.75': 63, 'DV.2': 44, 'BL.1': 81, 'XBF.2': 4, 'CH.1.1.11': 61, 'CH.1.1.2': 247, 'CA.5': 21, 'CH.1.1.6': 76, 'BA.2': 10, 'FJ.1': 37, 'CH.1.1.13': 106, 'GP.2': 25, 'BN.1.4.5': 10, 'XBF.9': 4, 'BR.2.1': 79, 'XBF': 124, 'BN.6': 35, 'BA.2.75.10': 6, 'CH.1.1.3': 15, 'BL.6': 5, 'CH.1.1.7': 3, 'BM.1': 13, 'XBF.4': 22, 'BR.5': 4, 'CA.3': 18, 'XBF.3': 22, 'XBK': 6, 'BR.1': 45, 'GP.3': 19, 'BY.1.2': 14, 'EJ.1': 5, 'CH.1.1.14': 28, 'BA.2.75.6': 11, 'DV.3.1': 28, 'BN.5': 20, 'CA.2': 3, 'BN.1.10': 10, 'BN.1.2.2': 7, 'XBQ': 14, 'BM.1.1.5': 10, 'BN.1.5.2': 6, 'BN.3.1': 21, 'BA.2.75.7': 9, 'XBF.6': 2, 'BM.1.1.2': 1, 'BN.4': 2, 'XBF.1': 2, 'EJ.2': 9, 'BN.1.3.5': 9, 'GP.1': 4, 'BM.5': 3, 'DV.1': 11, 'BN.2.1': 7, 'CJ.1.1': 6, 'BA.2.75.3': 35, 'BL.3': 4, 'CH.2': 1, 'CJ.1.3': 6, 'XBF.7': 3, 'BM.1.1.1': 8, 'CH.1.1.23': 4, 'BN.1.2.4': 4, 'BL.1.4': 6, 'CH.1.1.27': 5, 'BN.1.3.12': 8, 'CH.1.1.20': 2, 'BL.1.1': 1, 'DV.5': 7, 'BN.1.3.4': 2, 'XBF.5': 1, 'BL.4': 4, 'BN.3': 3, 'CH.1': 3, 'BM.4.1': 1, 'BN.1.3.8': 1, 'BN.1.3.7': 3, 'BM.2': 4, 'BN.2': 3, 'BY.1.2.1': 1, 'CH.1.1.30': 1, 'DV.7': 5, 'XBF.10': 1, 'BN.1.1.1': 5, 'FK.1.2': 1, 'BM.2.1': 1, 'BM.4': 1, 'CH.1.1.26': 1, 'DS.2': 1, 'XBK.1': 1, 'CH.3.1': 1, 'BR.4': 1, 'DS.3': 1, 'FK.1': 1, 'DV.4': 2, 'BN.1.2.5': 1, 'CJ.1': 1}",887654,527719,-1,2147483648,7349
SRR21642040,{'BA.2.12.1': 1},1309134,1,1309135,1,1
node_331110,{'AY.47': 6},499869,6,499869,0,6
node_581282,{'BA.4.6': 1},1335046,1,-1,2147483648,1
node_93741,{'AY.4.2': 18},606246,24,-1,2147483648,18
node_660151,{'BA.2': 2},1113543,2,1113544,1,2
ERR8214964,{'AY.4': 1},871261,1,871262,1,1
SRR21637001,{'BA.5.2': 1},1359330,1,1359331,1,1
node_180800,{'AY.4.2.2': 6},680504,6,662437,2,6
ERR6826236,{'AY.4': 1},443565,1,-1,2147483648,1
ERR6631463,{'AY.4': 1},354599,1,295320,5,1
node_181052,{'AY.4': 1},849426,1,849427,1,1
node_204136,{'AY.6': 2},304723,2,-1,2147483648,2
node_182355,{'AY.113': 2},537795,3,295320,7,2
SRR16383990,{'AY.44': 1},549444,1,-1,2147483648,1
node_598370,"{'BA.5.2.1': 2, 'BA.5': 1}",1270183,3,1270184,1,3
ERR7234500,{'AY.4': 1},678502,1,-1,2147483648,1
node_120414,{'AY.4': 1},568399,1,568400,1,1
node_555220,{'BA.5.1': 2},1355674,2,1189192,4,2
ERR6836742,{'AY.107': 1},503873,1,-1,2147483648,1
node_180889,{'AY.4': 1},449466,45,295320,4,1
ERR7313954,{'AY.4': 1},684535,1,684536,1,1
node_181831,{'AY.100': 2},639061,2,639061,0,2
node_161160,{'AY.4': 7},674171,7,674172,1,7
node_398633,{'B.1.1.7': 3},163594,3,-1,2147483648,3
ERR8250720,{'AY.4': 1},881107,1,881108,1,1
ERR8245085,{'AY.4': 1},883789,1,-1,2147483648,1
node_222659,{'AY.118': 2},867845,2,-1,2147483648,2
node_449872,{'BA.1.1': 3},2695724,3,-1,2147483648,3
ERR7235713,{'AY.112': 1},650312,1,650313,1,1
node_598923,{'BA.2.12.1': 2},1301257,2,1301257,0,2
ERR7047712,{'AY.4.2.2': 1},594730,1,-1,2147483648,1
SRR20259179,{'AY.119': 1},663420,1,295320,7,1
ERR6884343,{'AY.4': 1},486271,1,295320,3,1
ERR6568434,{'AY.4': 1},402554,1,-1,2147483648,1
node_322442,{'AY.20': 1},881660,1,-1,2147483648,1
node_640128,{'BA.2': 3},1147618,3,1147618,0,3
node_557281,{'BA.5.1.18': 2},1370994,2,1370994,0,2
node_217008,{'AY.39.1': 8},693748,8,-1,2147483648,8
ERR7142322,{'AY.98': 1},610154,1,-1,2147483648,1
node_172665,{'AY.100': 19},220139,708356,-1,2147483648,19
SRR15877561,{'AY.116': 1},411300,1,411301,1,1
node_176661,{'AY.100': 9},530740,9,-1,2147483648,9
SRR15159673,{'B.1.427': 1},260072,1,-1,2147483648,1
node_180733,{'AY.4': 1},640988,1,640989,1,1
SRR20116121,{'AY.100': 1},843328,1,-1,2147483648,1
node_181843,{'AY.100': 2},395136,2,-1,2147483648,2
ERR8251790,{'AY.4': 1},875066,1,-1,2147483648,1
SRR16606235,{'AY.39': 1},579490,1,-1,2147483648,1
ERR6491075,{'AY.4': 1},362624,1,362625,1,1
node_181273,{'AY.39.1': 2},329091,7,-1,2147483648,2
node_223658,{'B.1.617.2': 2},838802,5,295320,4,2
node_181730,{'AY.100': 14},645454,17,645455,1,14
node_176627,{'AY.100': 9},432787,9,432788,1,9
node_181960,{'AY.100': 2},664148,48,-1,2147483648,2
SRR20247205,{'AY.39': 1},685560,1,-1,2147483648,1
ERR10481476,{'BA.2': 1},1401611,1,1401612,1,1
SRR15775617,{'AY.25.3': 1},424520,1,-1,2147483648,1
ERR5181396,{'B.1.1.7': 1},90020,1,-1,2147483648,1
SRR20261476,{'AY.103': 1},758872,1,-1,2147483648,1
ERR9365679,{'BA.1.1': 1},1136437,1,-1,2147483648,1
node_292232,{'AY.3': 4},876296,4,-1,2147483648,4
SRR20954238,{'AY.119': 1},743823,1,295320,9,1
SRR18279402,{'BA.1.18': 1},1093384,2,1044332,3,1
SRR20226343,{'AY.39': 1},710600,1,710601,1,1
node_181072,{'AY.4': 1},726365,1,726366,1,1
node_89119,{'AY.4': 4},814569,4,814569,0,4
ERR6760245,{'AY.107': 1},456022,1,456023,1,1
SRR22734395,{'BQ.1.8': 1},1412421,1,1412422,1,1
ERR8187981,{'AY.4.2.2': 1},837980,1,-1,2147483648,1
SRR18814275,{'BA.1.1': 1},1006523,1,-1,2147483648,1
SRR15776056,{'AY.100': 1},417644,1,417645,1,1
SRR22294791,{'BA.5.2.1': 1},1403514,1,1403515,1,1
SRR16184898,{'AY.103': 1},509813,1,-1,2147483648,1
node_577119,{'BE.1.4': 2},1370930,2,1370930,0,2
ERR5989382,{'B.1.1.7': 1},269585,1,-1,2147483648,1
node_181405,{'AY.39': 2},827622,2,-1,2147483648,2
node_112698,{'AY.4': 7},306731,3144,-1,2147483648,7
ERR10559415,{'BE.12': 1},1409073,1,1409074,1,1
node_516786,"{'XAJ': 18, 'BA.4': 1}",974731,45209,-1,2147483648,19
node_266444,{'AY.25.1': 5},584445,23,-1,2147483648,5
node_493117,{'BA.1': 1},1070929,1,-1,2147483648,1
node_129470,{'AY.4': 1},536329,1,536330,1,1
SRR20258542,{'AY.100': 1},642580,2,-1,2147483648,1
ERR6840063,{'AY.112': 1},519621,2,295320,6,1
node_549341,{'BA.5.1.18': 2},1361403,2,1361403,0,2
SRR15864066,{'AY.39.1': 1},424751,21,-1,2147483648,1
node_181554,{'AY.20': 6},617346,27,295320,8,6
SRR15818885,{'AY.118': 1},405516,1,-1,2147483648,1
node_284359,{'AY.3': 1},802966,1,-1,2147483648,1
SRR20186924,{'AY.3': 1},862876,1,-1,2147483648,1
ERR10175168,{'BA.5.1': 1},1350337,1,1350338,1,1
node_181735,{'AY.100': 2},812783,2,812783,0,2
ERR7715835,{'AY.98': 1},757611,1,757612,1,1
ERR7303734,{'AY.4': 1},698130,1,698131,1,1
SRR16567155,{'B.1.617.2': 1},569038,1,-1,2147483648,1
ERR7795899,{'AY.4': 1},882352,1,882353,1,1
node_181577,{'AY.20': 1},401075,1,-1,2147483648,1
node_100030,{'AY.4.2': 147},238065,612069,-1,2147483648,147
ERR6495467,{'AY.4': 1},398956,1,295320,3,1
node_183999,{'AY.107': 2},762974,2,295320,11,2
ERR6768833,{'AY.42': 1},469896,1,336012,5,1
ERR7371565,{'AY.126': 1},723146,1,295320,5,1
node_180729,{'AY.4': 1},664912,1,295320,6,1
node_611406,{'BA.4': 1},1381227,1,1381228,1,1
SRR16706536,{'AY.117': 1},596126,1,596127,1,1
node_211916,{'AY.43': 1},398968,1,-1,2147483648,1
node_182148,{'AY.119': 2},867900,2,295320,10,2
node_569669,{'BQ.1.1': 2},1407171,2,1407172,1,2
node_181896,{'AY.100': 3},743746,5,-1,2147483648,3
ERR9085156,{'BA.1.1': 1},1063329,1,-1,2147483648,1
node_596232,{'BF.26': 4},1376760,4,1373146,1,4
node_6681,"{'B.1': 219, 'XB': 192}",223240,411,-1,2147483648,411
SRR20117186,{'AY.100': 1},894741,3,-1,2147483648,1
node_181703,{'AY.100': 2},766919,2,766920,1,2
SRR22844195,{'BA.5.2.1': 1},1351230,1,1189192,7,1
ERR7044036,{'AY.4': 1},557033,1,-1,2147483648,1
ERR7146188,{'AY.127': 1},610800,1,-1,2147483648,1
node_556621,{'BA.5.2': 11},1436802,871748,-1,2147483648,11
node_320412,{'AY.36': 2},552613,2,-1,2147483648,2
SRR20259867,{'AY.39': 1},663541,1,663542,1,1
SRR16901086,{'AY.126': 1},623774,1,-1,2147483648,1
node_256776,{'AY.25': 2},427862,2,427863,1,2
ERR7150033,{'AY.4.2': 1},587081,1,295320,6,1
SRR16099131,{'AY.14': 1},371196,1,-1,2147483648,1
node_504726,{'BA.1.18': 78},799272,2957,-1,2147483648,78
SRR15993918,{'AY.119': 1},440912,1,295320,8,1
ERR7028215,{'AY.4': 1},594259,1,594260,1,1
node_175111,{'AY.100': 5},759665,6,-1,2147483648,5
node_598906,{'BA.5': 22},1350044,22,1350045,1,22
SRR20944634,{'AY.103': 1},786189,1,786190,1,1
SRR19681844,{'BA.2.9': 1},1249946,1,-1,2147483648,1
SRR15916359,{'AY.39': 1},411349,1,-1,2147483648,1
node_186732,{'AY.127': 3},748923,3,-1,2147483648,3
node_181451,{'AY.39': 1},666744,1,-1,2147483648,1
SRR21084986,{'BA.5.1.30': 1},1303462,1,1303463,1,1
ERR4786984,{'B.1.177.4': 1},39336,1,39337,1,1
node_619575,{'BA.4': 2},1268319,2,1264200,1,2
ERR7709970,{'AY.129': 1},863580,1,863581,1,1
SRR16883640,{'AY.105': 1},623742,1,623743,1,1
SRR20250958,{'AY.118': 1},758701,1,-1,2147483648,1
node_47615,{'AY.4': 2},819036,2,819037,1,2
node_507173,{'BA.2.12.1': 4},1257069,4,1257069,0,4
SRR16040836,{'AY.20': 1},460553,1,460554,1,1
node_182070,{'AY.120': 2},354579,2,295320,5,2
node_549729,{'BA.5': 2},1403379,2,1263357,2,2
node_180737,{'AY.4': 1},474301,1,295320,4,1
node_374362,{'B.1.1.7': 2},265020,2,-1,2147483648,2
ERR6491292,{'AY.4.3': 1},392421,1,392422,1,1
node_181581,{'AY.36': 37},2713917,2407,-1,2147483648,37
node_556342,{'BA.5.1': 2},1289392,2,1289393,1,2
node_44179,"{'B.1.617.2': 2655, 'AY.35': 270, 'AY.48': 292}",238161,3219,-1,2147483648,3217
ERR6885659,{'AY.4': 1},429864,1,295320,3,1
SRR20380016,{'BA.2.12.1': 1},1281892,1,1281893,1,1
node_181421,{'AY.39': 1},872086,2,-1,2147483648,1
SRR20254302,{'AY.39': 1},639016,1,-1,2147483648,1
SRR16570012,{'C.37': 1},238119,2,-1,2147483648,1
SRR20251944,{'AY.39': 1},748992,1,748993,1,1
node_212254,{'AY.120.1': 43},298065,648,-1,2147483648,43
node_253389,{'AY.103': 1},612944,1,-1,2147483648,1
SRR16883439,{'AY.39': 1},631609,1,631610,1,1
ERR8686127,{'BA.1': 1},1048125,1,1048126,1,1
SRR16221675,{'AY.39.1': 1},496345,1,-1,2147483648,1
SRR20949740,{'AY.44': 1},827499,1,827500,1,1
ERR7240305,{'AY.4': 1},678519,1,-1,2147483648,1
ERR7584913,{'AY.4': 1},747334,1,747335,1,1
ERR7151835,{'AY.109': 1},610888,1,295320,7,1
SRR21266227,{'AY.118': 1},898307,1,-1,2147483648,1
node_184287,{'B.1.617.2': 30},307076,30,-1,2147483648,30
SRR16161643,{'B.1.617.2': 1},500454,1,295320,5,1
node_219096,{'AY.39': 1},753909,1,753910,1,1
