date,elapsed_time,user_time,sys_time,max_memory
2020-08-17,36.44720125198364,769.86,6.92,16481443840
2020-08-18,33.59165334701538,756.64,7.05,16774799360
2020-08-19,31.647764682769775,498.54,4.52,12616364032
2020-08-20,35.608407497406006,759.14,6.66,17924784128
2020-08-21,33.35342264175415,822.37,8.04,18925707264
2020-08-22,27.466366291046143,159.16,2.33,6791319552
2020-08-23,26.743877410888672,161.26,2.4,6568071168
2020-08-24,34.762521743774414,886.86,7.22,16984825856
2020-08-25,32.1443510055542,654.69,5.64,13762834432
2020-08-26,35.10372018814087,1038.54,8.01,20441022464
2020-08-27,34.03921675682068,624.59,6.59,13475577856
2020-08-28,36.00341248512268,602.94,5.04,10760978432
2020-08-29,28.806846141815186,197.6,2.75,6889762816
2020-08-30,34.02052450180054,532.49,4.93,12285087744
2020-08-31,37.79234552383423,883.91,8.57,16767029248
2020-09-01,38.34677600860596,1114.37,8.54,21679755264
2020-09-02,33.1753408908844,608.02,5.8,14107164672
2020-09-03,35.87278437614441,829.45,6.94,16045469696
2020-09-04,34.049182653427124,601.38,5.43,14221770752
2020-09-05,32.20517706871033,160.59,2.43,6537846784
2020-09-06,27.19369125366211,83.97,1.83,5172609024
2020-09-07,35.901999711990356,759.08,7.16,14976749568
2020-09-08,34.951889753341675,653.57,5.68,15673847808
2020-09-09,39.8621461391449,854.68,7.58,16575107072
2020-09-10,45.898714780807495,1616.55,13.2,21338750976
2020-09-11,33.19917392730713,479.83,4.83,11923431424
2020-09-12,21.68260145187378,58.07,1.62,4447289344
2020-09-13,28.31568169593811,86.23,2.02,4943048704
2020-09-14,34.373589277267456,377.96,4.21,8779268096
2020-09-15,35.90201449394226,921.16,7.55,22140071936
2020-09-16,46.08720517158508,1172.55,9.89,14609465344
2020-09-17,35.02789330482483,353.3,4.23,10245480448
2020-09-18,33.93634867668152,423.18,4.95,11205685248
2020-09-19,34.70677447319031,437.45,5.06,9725681664
2020-09-20,35.342193603515625,460.64,4.97,10016595968
2020-09-21,40.84932494163513,1093.46,8.91,16170934272
2020-09-22,32.16480541229248,343.93,4.08,8014782464
2020-09-23,41.51279139518738,710.38,6.6,13663227904
2020-09-24,57.71271109580994,1896.39,18.77,20146638848
2020-09-25,41.19979429244995,998.9,8.65,17030164480
2020-09-26,31.1180100440979,168.72,2.75,6923657216
2020-09-27,34.45989966392517,327.4,3.91,7692595200
2020-09-28,35.07353234291077,403.64,4.08,8805961728
2020-09-29,35.893232345581055,477.22,4.97,10297794560
2020-09-30,41.949058055877686,1058.73,9.28,21407682560
2020-10-01,51.76483368873596,1737.64,15.34,30052986880
2020-10-02,41.21160268783569,736.49,8.88,13904879616
2020-10-03,43.21460747718811,1051.16,9.37,17593266176
2020-10-04,38.458404302597046,312.18,4.02,8372125696
2020-10-05,53.33836078643799,1796.53,15.48,24223277056
2020-10-06,52.46353602409363,1732.57,17.17,25504579584
2020-10-07,52.445505142211914,1465.1,15.47,18359787520
2020-10-08,43.1088285446167,718.11,7.03,10841632768
2020-10-09,41.870317697525024,785.92,8.66,11624538112
2020-10-10,37.023841381073,410.51,4.64,10268016640
2020-10-11,40.856560468673706,541.17,5.48,10176241664
2020-10-12,48.77195930480957,1390.84,12.69,17514012672
2020-10-13,43.24599051475525,992.9,9.39,15689211904
2020-10-14,49.49935436248779,1310.94,11.92,16100356096
2020-10-15,68.67584347724915,3259.36,27.26,33533923328
2020-10-16,44.28002882003784,1010.9,9.22,20590854144
2020-10-17,42.42684864997864,923.15,8.4,12861251584
2020-10-18,39.117591857910156,339.6,4.06,8409288704
2020-10-19,51.48215317726135,1550.75,13.79,23875825664
2020-10-20,55.74969840049744,1795.03,15.82,22579650560
2020-10-21,75.78258919715881,3692.52,34.87,35791335424
2020-10-22,69.25005578994751,2854.3,30.75,27904860160
2020-10-23,46.85223460197449,1182.94,10.72,23675957248
2020-10-24,45.00905776023865,1133.33,12.33,19018264576
2020-10-25,38.14653778076172,408.87,4.63,8523259904
2020-10-26,64.35956859588623,2624.41,24.56,28336250880
2020-10-27,49.010339975357056,1240.81,14.54,16436056064
2020-10-28,47.08917737007141,799.9,7.8,16520585216
2020-10-29,51.86731243133545,1821.53,15.35,26927890432
2020-10-30,50.12071943283081,1179.26,10.53,16997343232
2020-10-31,40.57777762413025,687.57,6.81,13359681536
2020-11-01,72.75069236755371,3632.76,33.14,40908111872
2020-11-02,86.23198223114014,4230.87,37.79,29536215040
2020-11-03,57.85022854804993,2169.64,19.59,26449870848
2020-11-04,75.17545676231384,3090.82,28.47,31350259712
2020-11-05,81.44151616096497,3927.4,33.18,32867053568
2020-11-06,56.7017126083374,2279.92,22.08,42094104576
2020-11-07,54.32573485374451,1999.36,17.43,25019678720
2020-11-08,79.62998223304749,3620.05,36.09,31190835200
2020-11-09,70.51429462432861,3300.13,27.61,37126746112
2020-11-10,57.34337830543518,2078.96,18.51,29657878528
2020-11-11,74.0175998210907,3380.92,28.71,28622336000
2020-11-12,73.25850701332092,3170.45,28.2,32164659200
2020-11-13,95.24458956718445,5405.63,44.99,53437194240
2020-11-14,85.53022575378418,4390.11,36.56,38335991808
2020-11-15,59.31068134307861,2042.73,18.17,25970995200
2020-11-16,54.90044569969177,2052.68,18.82,33409458176
2020-11-17,65.30043888092041,2915.44,24.49,36915884032
2020-11-18,91.69697570800781,5127.76,40.94,41642573824
2020-11-19,49.15357995033264,1294.22,11.62,25820729344
2020-11-20,64.54117369651794,3046.68,28.22,39505842176
2020-11-21,52.31610298156738,1546.4,14.08,22713270272
2020-11-22,61.83720278739929,2172.45,21.62,24826871808
2020-11-23,62.87978148460388,2695.39,23.58,34622799872
2020-11-24,53.43608355522156,1515.92,13.49,29337702400
2020-11-25,58.126683950424194,2031.38,18.59,30667898880
2020-11-26,52.89585328102112,1333.23,12.16,22078410752
2020-11-27,59.268579721450806,2497.21,24.97,39801401344
2020-11-28,49.96617341041565,1076.35,9.59,22639382528
2020-11-29,49.670170068740845,1125.54,11.34,21701484544
2020-11-30,63.90495491027832,3235.74,29.6,40556101632
2020-12-01,77.4154007434845,4154.2,36.51,46089261056
2020-12-02,70.92530083656311,3801.49,33.39,42562883584
2020-12-03,56.023977279663086,1869.07,18.81,34162335744
2020-12-04,55.000405073165894,2000.27,18.26,30109089792
2020-12-05,49.85581064224243,1426.42,11.97,27042840576
2020-12-06,55.78739023208618,1835.71,16.67,28199522304
2020-12-07,76.05262899398804,3703.46,31.47,41982558208
2020-12-08,65.97489094734192,2392.54,24.56,32864829440
2020-12-09,84.47286605834961,5052.65,43.96,54042734592
2020-12-10,110.99548077583313,6745.93,53.48,49772916736
2020-12-11,127.4413411617279,9176.45,73.62,59256487936
2020-12-12,122.39495134353638,8697.39,66.78,58072580096
2020-12-13,91.82729506492615,5002.75,46.48,44969111552
2020-12-14,137.74578499794006,9695.22,82.51,61544263680
2020-12-15,142.37464904785156,10079.54,87.1,79016394752
2020-12-16,112.77800822257996,7235.82,59.81,58752081920
2020-12-17,94.1841413974762,4732.33,44.29,47714570240
2020-12-18,94.81140446662903,4633.66,43.42,43639599104
2020-12-19,68.68422245979309,2407.76,25.31,28288622592
2020-12-20,68.89075469970703,3106.93,30.99,48863109120
2020-12-21,93.65045595169067,5590.97,48.57,62827864064
2020-12-22,63.19398760795593,1749.15,18.34,23137230848
2020-12-23,62.50372767448425,1667.51,15.18,31164850176
2020-12-24,57.04493570327759,1460.31,13.39,21409058816
2020-12-25,56.351834774017334,822.54,8.86,17180561408
2020-12-26,68.75165295600891,2703.59,24.11,27954618368
2020-12-27,65.43908166885376,2825.96,29.72,41380478976
2020-12-28,77.26283717155457,3888.23,38.89,47627599872
2020-12-29,99.74724435806274,4854.62,41.09,36248190976
2020-12-30,82.4218397140503,3527.86,32.72,37870931968
2021-01-01,65.81227850914001,2196.77,21.47,28567580672
2021-01-02,108.17113971710205,5056.82,46.42,32417517568
2021-01-03,104.72975540161133,5484.42,51.54,43795513344
2021-01-04,119.12474155426025,7068.8,64.89,52113887232
2021-01-05,115.9106068611145,6825.15,65.37,42829578240
2021-01-06,92.47321462631226,4095.99,37.66,38779682816
2021-01-07,97.14042735099792,4711.32,42.41,41286168576
2021-01-08,105.95307064056396,5585.09,55.36,41789149184
2021-01-09,122.3452136516571,7800.9,71.87,50219679744
2021-01-10,98.33783221244812,5144.99,49.01,39682813952
2021-01-11,140.7276349067688,9254.89,79.1,59357765632
2021-01-12,158.8553647994995,10442.87,92.24,52081618944
2021-01-13,122.92890787124634,7724.52,70.62,51441385472
2021-01-14,125.9217472076416,7350.44,73.4,47115440128
2021-01-15,140.28837370872498,9000.29,83.58,46275026944
2021-01-16,136.48490977287292,9099.05,80.74,61672722432
2021-01-17,121.59391903877258,7033.66,71.17,53808029696
2021-01-18,139.72165369987488,9023.24,81.72,53056610304
2021-01-19,135.34975862503052,7975.73,73.2,56614801408
2021-01-20,121.05340933799744,7292.32,70.07,58071126016
2021-01-21,118.57290291786194,6502.86,59.23,53644406784
2021-01-22,131.6735758781433,8108.65,77.26,53141016576
2021-01-23,128.85426998138428,7466.19,67.41,61321535488
2021-01-24,118.48868417739868,7649.16,68.31,57636339712
2021-01-25,259.028617143631,21241.66,184.44,64536244224
2021-01-26,204.2311487197876,15509.15,141.49,65562542080
2021-01-27,228.28190803527832,17938.54,152.71,67207528448
2021-01-28,188.61521887779236,14479.67,131.34,72321531904
2021-01-29,224.42745733261108,17304.21,154.32,77604278272
2021-01-30,177.03718400001526,12750.27,110.95,80985681920
2021-01-31,131.82639598846436,8382.01,77.94,64465920000
2021-02-01,216.276123046875,17713.85,148.54,71922020352
2021-02-02,159.4391314983368,11301.77,102.18,75833765888
2021-02-03,166.10700964927673,11838.0,100.89,68682633216
2021-02-04,183.47026944160461,14124.28,123.22,69067898880
2021-02-05,144.2359790802002,9881.16,90.37,69113139200
2021-02-06,155.5754051208496,11286.76,103.0,81023512576
2021-02-07,170.1157021522522,12889.45,107.37,79370543104
2021-02-08,282.18503856658936,24356.73,200.46,101870915584
2021-02-09,250.8084578514099,21660.0,181.25,93846728704
2021-02-10,253.42977786064148,21540.69,186.28,78389391360
2021-02-11,238.69371032714844,20060.4,168.21,86986289152
2021-02-12,231.8791470527649,18972.14,160.98,77798207488
2021-02-13,234.62039494514465,20093.81,169.24,79897677824
2021-02-14,213.7005524635315,17049.36,143.21,89120681984
2021-02-15,322.6766140460968,28785.18,231.74,86948249600
2021-02-16,304.45539903640747,26937.04,221.01,110994460672
2021-02-17,232.89382410049438,19324.07,157.21,87478554624
2021-02-18,209.4878523349762,16848.77,138.86,90650791936
2021-02-19,228.7853138446808,18773.08,155.88,84442759168
2021-02-20,223.12701439857483,18158.48,153.81,91972710400
2021-02-21,250.60245728492737,20761.24,166.98,97235509248
2021-02-22,300.6930727958679,26446.03,212.27,104248303616
2021-02-23,251.0639283657074,20407.3,169.07,82896494592
2021-02-24,330.61742877960205,30077.9,232.38,103337402368
2021-02-25,347.152277469635,30597.08,244.22,89343373312
2021-02-26,291.30073642730713,25552.4,198.25,90556997632
2021-02-27,236.97644782066345,19423.81,159.38,86944796672
2021-02-28,234.20424270629883,18990.93,148.65,85614874624
2021-03-01,388.4013912677765,36135.78,279.37,90861080576
2021-03-02,339.4653215408325,30937.83,232.31,104393338880
2021-03-03,366.56065559387207,33506.78,254.83,105463984128
2021-03-04,309.28988552093506,27493.53,213.45,99972603904
2021-03-05,275.16651225090027,24062.1,181.69,99986624512
2021-03-06,225.4020438194275,18415.04,149.96,100266754048
2021-03-07,232.04293608665466,19304.7,149.62,101696032768
2021-03-08,397.4223721027374,35045.33,266.0,123472252928
2021-03-09,347.5206513404846,30767.49,230.99,104589619200
2021-03-10,417.7910530567169,38679.45,284.93,115189833728
2021-03-11,420.75027656555176,39607.52,303.66,101854928896
2021-03-12,484.01585388183594,46904.63,349.74,102834483200
2021-03-13,382.86075925827026,34857.8,251.6,117790068736
2021-03-14,323.7676601409912,28820.85,209.6,103252008960
2021-03-15,486.17570424079895,45445.7,331.53,112977899520
2021-03-16,491.7642397880554,46488.24,338.03,123671293952
2021-03-17,366.04672026634216,33155.32,247.06,121989718016
2021-03-18,395.70066142082214,36287.7,267.95,122171949056
2021-03-19,320.08151865005493,28038.8,205.55,119767384064
2021-03-20,350.9033145904541,30928.37,222.25,120553594880
2021-03-21,384.9470286369324,34741.09,253.96,125809770496
2021-03-22,517.4342770576477,48459.6,348.21,133646323712
2021-03-23,416.3455443382263,38004.23,274.01,139551551488
2021-03-24,428.99829745292664,40244.64,280.64,117421654016
2021-03-25,482.83867359161377,45858.86,330.8,135699681280
2021-03-26,322.0138325691223,27966.12,203.0,101661687808
2021-03-27,328.4445765018463,28050.63,208.63,108897390592
2021-03-28,292.3355162143707,24543.26,175.3,113953308672
2021-03-29,467.0386872291565,42354.83,308.97,114076991488
2021-03-30,482.0811679363251,44174.46,315.38,122407485440
2021-03-31,454.4491014480591,42083.57,287.99,121954275328
2021-04-01,633.8362867832184,61779.65,416.31,128156282880
2021-04-02,473.37632966041565,43153.06,292.77,124663476224
2021-04-03,431.5886046886444,39122.64,254.54,139003244544
2021-04-04,374.65381622314453,31993.1,215.8,118013534208
2021-04-05,447.8482720851898,41590.25,269.4,127150551040
2021-04-06,500.02803802490234,46010.44,313.6,126002372608
2021-04-07,504.5398631095886,45082.85,297.19,140218122240
2021-04-08,411.7994577884674,35226.0,237.08,135764254720
2021-04-09,427.80683946609497,38338.31,251.35,117577342976
2021-04-10,398.481116771698,35632.83,239.3,151210455040
2021-04-11,336.9579818248749,28270.46,192.31,106478014464
2021-04-12,442.1880555152893,41227.06,273.81,127812567040
2021-04-13,460.9269139766693,41956.77,282.64,139368001536
2021-04-14,481.4652416706085,44302.81,300.05,126470991872
2021-04-15,369.57080817222595,30933.48,202.83,122176626688
2021-04-16,332.5174789428711,28161.38,192.16,117798555648
2021-04-17,288.5293538570404,23027.6,155.2,114918907904
2021-04-18,247.67170524597168,16276.27,111.79,86845227008
2021-04-19,395.2438790798187,34238.07,234.25,117132251136
2021-04-20,340.2276222705841,27769.65,173.45,114077908992
2021-04-21,410.1826250553131,36149.27,232.59,119515463680
2021-04-22,395.8064217567444,35073.2,229.97,132779675648
2021-04-23,359.69411182403564,30101.91,186.09,117499772928
2021-04-24,256.0222885608673,19160.98,121.89,96692252672
2021-04-25,234.80065965652466,17055.95,121.01,88607260672
2021-04-26,439.89034605026245,39169.34,251.6,118847930368
2021-04-27,415.25051856040955,36440.01,225.82,138742730752
2021-04-28,376.6612193584442,31350.07,202.4,101317193728
2021-04-29,398.47074127197266,34407.21,215.8,108073000960
2021-04-30,349.07751297950745,27238.88,160.15,112980082688
2021-05-01,288.08293104171753,20405.06,140.71,83295453184
2021-05-02,207.0510675907135,12119.74,88.73,65179623424
2021-05-03,365.44665265083313,31790.25,188.86,138615554048
2021-05-04,407.65132904052734,34236.82,201.39,110647164928
2021-05-05,352.82868218421936,29812.3,181.64,126151430144
2021-05-06,385.44263768196106,32954.06,202.99,117494665216
2021-05-07,307.6111013889313,23910.65,153.51,94043037696
2021-05-08,255.82547283172607,17293.54,127.44,70696509440
2021-05-09,232.26883721351624,13981.49,103.32,63013818368
